 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-504 ," $4,918,500 "," $69,157,500 "," $2,600,000 "," $3,478,300 ", $-   , $-   ," $1,009,700 ", $-   ," $81,164,000 ",9%,10%
 CA-24-505 ," $2,400,000 "," $65,388,254 "," $2,699,530 "," $2,105,634 "," $4,613,145 ", $-   ," $1,351,115 "," $615,000 "," $79,172,678 ",14%,16%
 CA-24-506 ," $3,045,106 "," $6,429,336 "," $567,955 "," $375,037 "," $378,978 ", $-   ," $142,117 ", $-   ," $11,134,650 ",13%,23%
 CA-24-507 ," $5,147,606 "," $82,951,955 "," $4,000,000 "," $3,900,000 "," $3,900,000 ", $-   ," $3,358,203 "," $80,000 "," $104,771,987 ",14%,18%
 CA-24-508 ," $3,040,000 "," $23,026,410 "," $521,328 "," $1,563,985 "," $1,563,985 ", $-   ," $400,000 ", $-   ," $30,115,708 ",13%,18%
 CA-24-509 ," $2,024,189 "," $50,442,571 "," $2,200,000 "," $3,064,117 "," $3,064,117 ", $-   ," $695,236 "," $50,000 "," $61,540,230 ",15%,18%
 CA-24-510 ," $1,906,258 "," $14,555,351 "," $1,856,400 "," $586,056 "," $586,056 "," $4,115,402 "," $562,545 "," $200,000 "," $25,118,068 ",14%,25%
 CA-24-511 ," $1,555,000 "," $9,243,951 "," $431,958 "," $336,927 "," $742,968 ", $-   , $-   , $-   ," $12,310,804 ",12%,16%
 CA-24-512 ," $8,953,428 "," $37,201,350 "," $2,633,859 "," $1,993,426 "," $1,993,426 "," $42,700 ", $-   ," $475,000 "," $54,340,188 ",12%,18%
 CA-24-513 ," $400,000 "," $21,310,653 "," $1,291,500 "," $430,500 "," $1,291,500 ", $-   ," $215,250 "," $570,000 "," $25,509,403 ",13%,15%
